Mode,Month,State,Load Port,Species,End Use,Country, Quantity ,Year
Sea,Jan,WA,Fremantle,Cattle,Feeder,Vietnam," 6,096 ",2016
Sea,Jan,WA,Fremantle,Cattle,Slaughter,Malaysia," 2,200 ",2016
Air,Jan,WA,Perth,Sheep,Slaughter,Malaysia, 134 ,2016
Sea,Jan,QLD,Townsville,Cattle,Slaughter,Vietnam," 2,847 ",2016
Air,Jan,WA,Perth,Sheep,Slaughter,Malaysia, 136 ,2016
Air,Jan,SA,Adelaide,Sheep,Slaughter,Malaysia, 151 ,2016
Air,Jan,WA,Perth,Sheep,Slaughter,Malaysia, 162 ,2016
Air,Jan,NSW,Sydney,Goats,Breeder,Philippines, 128 ,2016
Sea,Jan,QLD,Townsville,Cattle,Slaughter,Vietnam," 2,792 ",2016
Air,Jan,SA,Adelaide,Goats,Slaughter,Malaysia, 120 ,2016
Sea,Jan,WA,Fremantle,Cattle,Slaughter,Vietnam," 5,610 ",2016
Air,Jan,WA,Perth,Sheep,Slaughter,Malaysia, 154 ,2016
Sea,Jan,NT,Darwin,Cattle,Feeder,Indonesia," 3,167 ",2016
Sea,Jan,QLD,Townsville,Cattle,Slaughter,Vietnam," 2,023 ",2016
Sea,Jan,WA,Fremantle,Cattle,Feeder,Turkey," 6,951 ",2016
Sea,Jan,NT,Darwin,Cattle,Slaughter,Vietnam," 1,350 ",2016
Sea,Jan,WA,Geraldton,Cattle,Slaughter,Vietnam," 2,063 ",2016
Air,Jan,WA,Perth,Sheep,Slaughter,Malaysia, 144 ,2016
Sea,Jan,QLD,Townsville,Cattle,Feeder,Indonesia," 3,822 ",2016
Sea,Jan,WA,Fremantle,Cattle,Feeder,Indonesia," 1,886 ",2016
Air,Jan,WA,Perth,Sheep,Slaughter,Malaysia, 147 ,2016
Sea,Jan,WA,Fremantle,Cattle,Feeder,Indonesia," 9,820 ",2016
Sea,Jan,WA,Fremantle,Cattle,Slaughter,Vietnam," 7,839 ",2016
Air,Jan,WA,Perth,Sheep,Slaughter,Malaysia, 165 ,2016
Air,Jan,VIC,Melbourne,Alpacas,Breeder,New Zealand, 18 ,2016
Air,Jan,SA,Adelaide,Goats,Slaughter,Malaysia," 1,236 ",2016
Air,Jan,SA,Adelaide,Sheep,Slaughter,Malaysia, 947 ,2016
Sea,Jan,NT,Darwin,Cattle,Feeder,Indonesia," 2,559 ",2016
Air,Jan,WA,Perth,Sheep,Slaughter,Malaysia, 165 ,2016
Sea,Jan,VIC,Portland,Cattle,Feeder,Israel," 4,147 ",2016
Sea,Jan,VIC,Portland,Cattle,Feeder,Russia," 8,078 ",2016
Air,Jan,WA,Perth,Sheep,Slaughter,Malaysia, 142 ,2016
Sea,Jan,NT,Darwin,Cattle,Feeder,Indonesia," 3,082 ",2016
Sea,Jan,NT,Darwin,Cattle,Feeder,Indonesia," 3,086 ",2016
Sea,Jan,SA,Port Adelaide,Sheep,Slaughter,Qatar," 45,000 ",2016
Sea,Jan,SA,Port Adelaide,Sheep,Slaughter,Kuwait," 6,451 ",2016
Sea,Jan,QLD,Townsville,Cattle,Feeder,Indonesia," 4,000 ",2016
Air,Jan,WA,Perth,Sheep,Slaughter,Malaysia, 165 ,2016
Air,Jan,SA,Adelaide,Goats,Slaughter,Malaysia, 124 ,2016
Air,Jan,NSW,Sydney,Goats,Slaughter,Malaysia, 671 ,2016
Sea,Jan,QLD,Brisbane,Cattle,Feeder,Japan," 1,080 ",2016
Air,Jan,NSW,Sydney,Cattle,Breeder,Malaysia, 99 ,2016
Air,Jan,NSW,Sydney,Goats,Breeder,Malaysia, 12 ,2016
Sea,Jan,NT,Darwin,Cattle,Feeder,Indonesia," 3,111 ",2016
Sea,Jan,WA,Fremantle,Cattle,Feeder,Israel," 3,360 ",2016
Sea,Jan,WA,Fremantle,Sheep,Feeder,Israel," 5,898 ",2016
Sea,Jan,WA,Fremantle,Cattle,Feeder,Russia," 1,922 ",2016
Air,Jan,SA,Adelaide,Goats,Slaughter,Malaysia," 1,510 ",2016
Air,Jan,SA,Adelaide,Sheep,Slaughter,Malaysia, 541 ,2016
Air,Jan,SA,Adelaide,Cattle,Slaughter,Malaysia, 20 ,2016
Air,Jan,SA,Adelaide,Alpacas,Breeder,Malaysia, 13 ,2016
Sea,Jan,WA,Fremantle,Cattle,Slaughter,Qatar, 100 ,2016
Sea,Jan,WA,Fremantle,Sheep,Slaughter,Qatar," 9,000 ",2016
Sea,Jan,WA,Fremantle,Sheep,Slaughter,Kuwait," 27,184 ",2016
Air,Jan,WA,Perth,Sheep,Slaughter,Malaysia, 165 ,2016
Sea,Jan,NT,Darwin,Cattle,Feeder,Indonesia," 2,025 ",2016
Air,Jan,WA,Perth,Sheep,Slaughter,Malaysia, 140 ,2016
Air,Jan,SA,Adelaide,Goats,Slaughter,Malaysia," 1,374 ",2016
Air,Jan,SA,Adelaide,Sheep,Slaughter,Malaysia, 699 ,2016
Air,Jan,NSW,Sydney,Goats,Breeder,Nepal, 30 ,2016
Air,Jan,NSW,Sydney,Sheep,Breeder,Uruguay, 23 ,2016
Sea,Jan,QLD,Townsville,Cattle,Feeder,Indonesia," 2,887 ",2016
Air,Jan,WA,Perth,Sheep,Slaughter,Malaysia, 165 ,2016
Sea,Jan,WA,Fremantle,Cattle,Feeder,Indonesia," 2,880 ",2016
Sea,Jan,NT,Darwin,Cattle,Slaughter,Vietnam," 1,250 ",2016
Air,Jan,NSW,Sydney,Goats,Breeder,Nepal, 16 ,2016
Sea,Jan,WA,Fremantle,Cattle,Slaughter,Malaysia, 683 ,2016
Sea,Jan,WA,Fremantle,Sheep,Slaughter,Malaysia," 2,989 ",2016
Sea,Jan,WA,Fremantle,Sheep,Breeder,Malaysia, 363 ,2016
Sea,Jan,QLD,Townsville,Cattle,Feeder,Indonesia," 4,094 ",2016
Sea,Jan,QLD,Townsville,Cattle,Feeder,Indonesia," 3,836 ",2016
Air,Feb,WA,Perth,Sheep,Slaughter,Malaysia, 165 ,2016
Sea,Feb,QLD,Townsville,Cattle,Feeder,Indonesia," 4,110 ",2016
Sea,Feb,SA,Port Adelaide,Cattle,Slaughter,Vietnam," 4,604 ",2016
Sea,Feb,SA,Port Adelaide,Cattle,Slaughter,Vietnam," 1,758 ",2016
Air,Feb,WA,Perth,Sheep,Slaughter,Malaysia, 165 ,2016
Sea,Feb,NT,Darwin,Cattle,Feeder,Indonesia," 3,156 ",2016
Air,Feb,NSW,Sydney,Goats,Slaughter,United Arab Emirates," 1,050 ",2016
Air,Feb,NSW,Sydney,Goats,Slaughter,Malaysia, 820 ,2016
Air,Feb,NSW,Sydney,Sheep,Slaughter,Malaysia, 85 ,2016
Air,Feb,NSW,Sydney,Cattle,Breeder,Vietnam, 5 ,2016
Air,Feb,WA,Perth,Sheep,Slaughter,Malaysia, 100 ,2016
Sea,Feb,NT,Darwin,Cattle,Feeder,Indonesia," 3,195 ",2016
Sea,Feb,VIC,Portland,Cattle,Breeder,China," 5,140 ",2016
Sea,Feb,QLD,Townsville,Cattle,Feeder,Indonesia," 3,000 ",2016
Air,Feb,NSW,Sydney,Sheep,Breeder,Uruguay, 6 ,2016
Sea,Feb,QLD,Townsville,Cattle,Slaughter,Vietnam," 2,982 ",2016
Air,Feb,WA,Perth,Sheep,Slaughter,Malaysia, 158 ,2016
Sea,Feb,QLD,Townsville,Cattle,Feeder,Indonesia," 6,282 ",2016
Air,Feb,SA,Adelaide,Goats,Slaughter,Malaysia, 120 ,2016
Sea,Feb,QLD,Karumba,Cattle,Feeder,Indonesia," 1,976 ",2016
Air,Feb,WA,Perth,Sheep,Slaughter,Malaysia, 140 ,2016
Sea,Feb,WA,Fremantle,Cattle,Slaughter,Vietnam," 2,038 ",2016
Sea,Feb,VIC,Portland,Sheep,Slaughter,Kuwait," 23,161 ",2016
Sea,Feb,VIC,Portland,Sheep,Slaughter,United Arab Emirates," 9,523 ",2016
Sea,Feb,VIC,Portland,Sheep,Slaughter,Oman," 5,800 ",2016
Sea,Feb,VIC,Portland,Cattle,Breeder,Kuwait, 230 ,2016
Air,Feb,WA,Perth,Sheep,Slaughter,Malaysia, 110 ,2016
Air,Feb,SA,Adelaide,Goats,Slaughter,Malaysia," 1,599 ",2016
Air,Feb,SA,Adelaide,Sheep,Slaughter,Malaysia, 644 ,2016
Air,Feb,WA,Perth,Sheep,Slaughter,Malaysia, 106 ,2016
Air,Feb,WA,Perth,Goats,Slaughter,Malaysia, 100 ,2016
Air,Feb,WA,Perth,Sheep,Slaughter,Malaysia, 140 ,2016
Air,Feb,VIC,Melbourne,Cattle,Breeder,Malaysia, 36 ,2016
Air,Feb,VIC,Melbourne,Goats,Slaughter,Malaysia, 522 ,2016
Air,Feb,VIC,Melbourne,Sheep,Slaughter,Malaysia, 683 ,2016
Sea,Feb,WA,Fremantle,Sheep,Slaughter,Kuwait," 26,211 ",2016
Sea,Feb,WA,Fremantle,Sheep,Slaughter,United Arab Emirates," 2,976 ",2016
Sea,Feb,WA,Fremantle,Sheep,Slaughter,Oman, 200 ,2016
Sea,Feb,WA,Fremantle,Sheep,Slaughter,Kuwait," 6,085 ",2016
Air,Feb,WA,Perth,Sheep,Slaughter,Malaysia, 134 ,2016
Air,Feb,WA,Perth,Sheep,Slaughter,Malaysia, 165 ,2016
Sea,Feb,QLD,Townsville,Cattle,Feeder,Indonesia," 2,998 ",2016
Sea,Feb,VIC,Portland,Cattle,Breeder,China," 3,290 ",2016
Sea,Feb,WA,Fremantle,Sheep,Slaughter,Jordan," 21,578 ",2016
Sea,Feb,WA,Fremantle,Sheep,Feeder,Israel," 20,200 ",2016
Sea,Feb,WA,Fremantle,Cattle,Feeder,Israel," 10,768 ",2016
Sea,Feb,NT,Darwin,Cattle,Feeder,Indonesia," 2,982 ",2016
Air,Feb,WA,Perth,Sheep,Slaughter,Malaysia, 160 ,2016
Air,Feb,NSW,Sydney,Alpacas,Breeder,South Korea, 6 ,2016
Sea,Feb,QLD,Townsville,Cattle,Feeder,Vietnam," 2,393 ",2016
Air,Feb,WA,Perth,Sheep,Slaughter,Malaysia, 150 ,2016
Sea,Feb,QLD,Townsville,Cattle,Feeder,Vietnam," 1,874 ",2016
Sea,Feb,NT,Darwin,Cattle,Feeder,Indonesia," 2,971 ",2016
Air,Feb,WA,Perth,Sheep,Slaughter,Malaysia, 152 ,2016
Air,Feb,WA,Perth,Goats,Slaughter,Malaysia, 49 ,2016
Sea,Feb,NT,Darwin,Buffalo,Slaughter,Vietnam, 213 ,2016
Sea,Feb,NT,Darwin,Cattle,Slaughter,Vietnam," 1,185 ",2016
Air,Feb,NSW,Sydney,Sheep,Breeder,Uruguay, 20 ,2016
Sea,Feb,NT,Darwin,Cattle,Feeder,Indonesia," 3,237 ",2016
Sea,Feb,QLD,Townsville,Cattle,Feeder,Indonesia," 1,591 ",2016
Sea,Feb,QLD,Townsville,Cattle,Feeder,Indonesia," 1,848 ",2016
Sea,Feb,QLD,Townsville,Cattle,Feeder,Indonesia, 631 ,2016
Sea,Feb,WA,Geraldton,Cattle,Slaughter,Malaysia," 2,443 ",2016
Sea,Feb,QLD,Townsville,Cattle,Feeder,Indonesia," 3,899 ",2016
Air,Feb,WA,Perth,Sheep,Slaughter,Malaysia, 162 ,2016
Air,Feb,SA,Adelaide,Goats,Slaughter,Malaysia," 1,847 ",2016
Air,Feb,SA,Adelaide,Sheep,Slaughter,Malaysia, 442 ,2016
Sea,Feb,WA,Fremantle,Sheep,Slaughter,Malaysia," 2,355 ",2016
Sea,Feb,WA,Fremantle,Cattle,Slaughter,Malaysia," 1,003 ",2016
Air,Feb,WA,Perth,Sheep,Slaughter,Malaysia, 150 ,2016
Air,Feb,VIC,Melbourne,Cattle,Breeder,United Arab Emirates, 64 ,2016
Air,Feb,VIC,Melbourne,Goats,Breeder,United Arab Emirates, 58 ,2016
Air,Feb,VIC,Melbourne,Sheep,Breeder,United Arab Emirates, 32 ,2016
Sea,Feb,QLD,Townsville,Cattle,Feeder,Indonesia," 2,016 ",2016
Air,Feb,WA,Perth,Sheep,Slaughter,Malaysia, 105 ,2016
Air,Feb,NSW,Sydney,Sheep,Breeder,Uruguay, 20 ,2016
Sea,Feb,NT,Darwin,Cattle,Feeder,Indonesia," 4,189 ",2016
Air,Feb,NSW,Sydney,Goats,Slaughter,Malaysia, 778 ,2016
Air,Feb,NSW,Sydney,Sheep,Slaughter,Malaysia, 44 ,2016
Air,Feb,WA,Perth,Sheep,Slaughter,Malaysia, 134 ,2016
Sea,Feb,WA,Geraldton,Cattle,Slaughter,Vietnam," 1,498 ",2016
Sea,Feb,WA,Geraldton,Cattle,Feeder,Vietnam," 1,733 ",2016
Sea,Feb,QLD,Brisbane,Cattle,Feeder,Japan," 1,080 ",2016
Air,Feb,SA,Adelaide,Goats,Slaughter,Malaysia," 1,052 ",2016
Air,Feb,SA,Adelaide,Sheep,Slaughter,Malaysia, 524 ,2016
Air,Feb,SA,Adelaide,Cattle,Slaughter,Malaysia, 29 ,2016
Air,Feb,SA,Adelaide,Alpacas,Breeder,Malaysia, 13 ,2016
Air,Feb,SA,Adelaide,Camels,Breeder,Malaysia, 6 ,2016
Air,Feb,WA,Perth,Sheep,Slaughter,Malaysia, 161 ,2016
Air,Mar,WA,Perth,Sheep,Slaughter,Malaysia, 165 ,2016
Sea,Mar,WA,Fremantle,Sheep,Slaughter,Kuwait," 19,344 ",2016
Sea,Mar,WA,Fremantle,Sheep,Slaughter,United Arab Emirates," 3,000 ",2016
Sea,Mar,WA,Fremantle,Sheep,Slaughter,Qatar," 50,265 ",2016
Sea,Mar,WA,Fremantle,Cattle,Slaughter,Qatar, 100 ,2016
Sea,Mar,WA,Fremantle,Cattle,Breeder,United Arab Emirates, 5 ,2016
Sea,Mar,WA,Fremantle,Cattle,Slaughter,United Arab Emirates, 200 ,2016
Sea,Mar,QLD,Karumba,Cattle,Feeder,Indonesia," 1,825 ",2016
Sea,Mar,NT,Darwin,Cattle,Feeder,Indonesia," 3,085 ",2016
Air,Mar,NSW,Sydney,Goats,Breeder,United Arab Emirates, 149 ,2016
Air,Mar,NSW,Sydney,Goats,Breeder,United Arab Emirates, 94 ,2016
Air,Mar,NSW,Sydney,Sheep,Breeder,United Arab Emirates, 113 ,2016
Air,Mar,NSW,Sydney,Goats,Slaughter,United Arab Emirates," 1,680 ",2016
Air,Mar,NSW,Sydney,Sheep,Breeder,Bangladesh, 42 ,2016
Air,Mar,WA,Perth,Sheep,Slaughter,Malaysia, 147 ,2016
Sea,Mar,QLD,Townsville,Cattle,Feeder,Vietnam," 3,431 ",2016
Air,Mar,WA,Perth,Sheep,Slaughter,Malaysia, 124 ,2016
Sea,Mar,VIC,Portland,Cattle,Breeder,China," 2,493 ",2016
Sea,Mar,WA,Fremantle,Cattle,Breeder,Pakistan," 1,003 ",2016
Air,Mar,WA,Perth,Sheep,Slaughter,Malaysia, 155 ,2016
Sea,Mar,WA,Fremantle,Sheep,Slaughter,Kuwait," 53,689 ",2016
Sea,Mar,WA,Fremantle,Sheep,Slaughter,United Arab Emirates," 10,000 ",2016
Air,Mar,WA,Perth,Sheep,Breeder,Malaysia, 80 ,2016
Sea,Mar,NT,Darwin,Cattle,Feeder,Indonesia," 3,772 ",2016
Air,Mar,NSW,Sydney,Cattle,Breeder,Japan, 345 ,2016
Air,Mar,WA,Perth,Sheep,Slaughter,Malaysia, 107 ,2016
Air,Mar,VIC,Melbourne,Cattle,Breeder,Taiwan, 220 ,2016
Air,Mar,NSW,Sydney,Goats,Slaughter,Malaysia, 548 ,2016
Air,Mar,NSW,Sydney,Sheep,Slaughter,Malaysia, 438 ,2016
Air,Mar,WA,Perth,Sheep,Slaughter,Malaysia, 138 ,2016
Sea,Mar,QLD,Townsville,Cattle,Feeder,Indonesia," 3,029 ",2016
Sea,Mar,NT,Darwin,Cattle,Feeder,Indonesia," 4,201 ",2016
Sea,Mar,NT,Darwin,Cattle,Feeder,Indonesia," 2,922 ",2016
Air,Mar,WA,Perth,Sheep,Slaughter,Malaysia, 150 ,2016
Air,Mar,SA,Adelaide,Sheep,Slaughter,Malaysia, 141 ,2016
Air,Mar,SA,Adelaide,Goats,Slaughter,Malaysia, 60 ,2016
Sea,Mar,NT,Darwin,Cattle,Slaughter,Malaysia, 745 ,2016
Sea,Mar,NT,Darwin,Cattle,Breeder,Malaysia, 60 ,2016
Sea,Mar,NT,Darwin,Cattle,Slaughter,Brunei Darussalam, 900 ,2016
Sea,Mar,NT,Darwin,Cattle,Feeder,Indonesia," 3,310 ",2016
Air,Mar,WA,Perth,Sheep,Slaughter,Malaysia, 157 ,2016
Sea,Mar,VIC,Portland,Cattle,Breeder,China," 3,958 ",2016
Air,Mar,NSW,Sydney,Cattle,Breeder,Malaysia, 45 ,2016
Air,Mar,WA,Perth,Sheep,Breeder,Malaysia, 77 ,2016
Sea,Mar,QLD,Townsville,Cattle,Feeder,Indonesia," 2,932 ",2016
Air,Mar,WA,Perth,Sheep,Slaughter,Malaysia, 131 ,2016
Sea,Mar,NT,Darwin,Cattle,Feeder,Vietnam," 1,318 ",2016
Sea,Mar,NT,Darwin,Cattle,Feeder,Indonesia," 3,380 ",2016
Air,Mar,WA,Perth,Sheep,Slaughter,Malaysia, 142 ,2016
Sea,Mar,VIC,Portland,Cattle,Feeder,Russia," 16,812 ",2016
Air,Mar,SA,Adelaide,Goats,Slaughter,Malaysia," 1,924 ",2016
Air,Mar,SA,Adelaide,Sheep,Slaughter,Malaysia, 439 ,2016
Air,Mar,WA,Perth,Sheep,Slaughter,Malaysia, 122 ,2016
Air,Mar,NSW,Sydney,Sheep,Breeder,Argentina, 13 ,2016
Sea,Mar,QLD,Townsville,Cattle,Slaughter,Vietnam," 1,764 ",2016
Air,Mar,WA,Perth,Sheep,Slaughter,Malaysia, 128 ,2016
Air,Mar,SA,Adelaide,Goats,Slaughter,Malaysia, 27 ,2016
Air,Mar,SA,Adelaide,Sheep,Slaughter,Malaysia, 170 ,2016
Air,Mar,NSW,Sydney,Sheep,Breeder,Uruguay, 9 ,2016
Air,Mar,WA,Perth,Sheep,Slaughter,Malaysia, 92 ,2016
Air,Mar,WA,Perth,Goats,Slaughter,Malaysia, 67 ,2016
Air,Mar,NSW,Sydney,Goats,Slaughter,Malaysia, 550 ,2016
Air,Mar,NSW,Sydney,Sheep,Slaughter,Malaysia, 45 ,2016
Sea,Mar,VIC,Portland,Cattle,Breeder,China," 3,629 ",2016
Sea,Mar,WA,Fremantle,Sheep,Slaughter,Malaysia," 1,214 ",2016
Sea,Mar,WA,Fremantle,Cattle,Slaughter,Malaysia," 1,123 ",2016
Sea,Mar,QLD,Townsville,Cattle,Slaughter,Vietnam," 2,549 ",2016
Sea,Mar,NT,Darwin,Cattle,Feeder,Indonesia," 1,799 ",2016
Air,Mar,WA,Perth,Sheep,Breeder,Malaysia, 80 ,2016
Air,Mar,WA,Perth,Sheep,Slaughter,Malaysia, 140 ,2016
Sea,Mar,WA,Fremantle,Cattle,Feeder,Indonesia," 3,416 ",2016
Sea,Mar,WA,Fremantle,Cattle,Slaughter,Vietnam, 811 ,2016
Sea,Mar,QLD,Townsville,Cattle,Productive,Indonesia," 1,071 ",2016
Sea,Mar,QLD,Townsville,Cattle,Feeder,Indonesia," 1,972 ",2016
Air,Mar,VIC,Melbourne,Sheep,Slaughter,Malaysia, 92 ,2016
Sea,Mar,NT,Darwin,Cattle,Feeder,Indonesia," 3,831 ",2016
Air,Mar,WA,Perth,Sheep,Slaughter,Malaysia, 142 ,2016
Air,Mar,WA,Perth,Sheep,Slaughter,Malaysia, 150 ,2016
Sea,Mar,WA,Fremantle,Sheep,Slaughter,Kuwait," 29,036 ",2016
Sea,Mar,WA,Fremantle,Sheep,Slaughter,Oman," 6,000 ",2016
Sea,Mar,WA,Fremantle,Sheep,Slaughter,United Arab Emirates," 8,000 ",2016
Sea,Mar,WA,Fremantle,Sheep,Slaughter,Qatar," 20,000 ",2016
Sea,Mar,WA,Fremantle,Sheep,Slaughter,Kuwait," 3,216 ",2016
Air,Mar,WA,Perth,Sheep,Slaughter,Malaysia, 150 ,2016
Sea,Mar,WA,Wyndham,Cattle,Slaughter,Vietnam, 98 ,2016
Sea,Mar,WA,Wyndham,Cattle,Feeder,Indonesia," 5,026 ",2016
Air,Mar,WA,Perth,Sheep,Breeder,Malaysia, 40 ,2016
Sea,Mar,NT,Darwin,Cattle,Slaughter,Vietnam," 1,952 ",2016
Sea,Mar,WA,Fremantle,Cattle,Breeder,China, 618 ,2016
Sea,Mar,NT,Darwin,Cattle,Feeder,Indonesia," 6,845 ",2016
Sea,Mar,NT,Darwin,Buffalo,Slaughter,Vietnam, 722 ,2016
Sea,Mar,NT,Darwin,Cattle,Slaughter,Vietnam," 2,567 ",2016
Sea,Mar,NT,Darwin,Cattle,Feeder,Indonesia," 3,244 ",2016
Sea,Mar,QLD,Townsville,Cattle,Slaughter,Vietnam," 4,456 ",2016
Air,Mar,WA,Perth,Sheep,Slaughter,Malaysia, 140 ,2016
Air,Apr,NSW,Sydney,Goats,Slaughter,Malaysia, 315 ,2016
Sea,Apr,WA,Broome,Cattle,Feeder,Indonesia," 1,125 ",2016
Sea,Apr,WA,Broome,Cattle,Feeder,Indonesia," 1,666 ",2016
Sea,Apr,VIC,Portland,Cattle,Breeder,China," 5,334 ",2016
Sea,Apr,NT,Darwin,Cattle,Feeder,Philippines," 1,743 ",2016
Sea,Apr,NT,Darwin,Cattle,Feeder,Indonesia," 2,098 ",2016
Sea,Apr,WA,Broome,Cattle,Feeder,Indonesia," 3,447 ",2016
Sea,Apr,QLD,Brisbane,Cattle,Feeder,Japan," 1,080 ",2016
Air,Apr,NSW,Sydney,Goats,Slaughter,Malaysia, 800 ,2016
Air,Apr,NSW,Sydney,Sheep,Slaughter,Malaysia, 100 ,2016
Air,Apr,WA,Perth,Sheep,Breeder,China," 1,400 ",2016
Sea,Apr,WA,Broome,Cattle,Slaughter,Vietnam," 3,347 ",2016
Sea,Apr,QLD,Townsville,Cattle,Feeder,Indonesia," 6,033 ",2016
Air,Apr,WA,Perth,Sheep,Slaughter,Malaysia, 150 ,2016
Sea,Apr,SA,Port Adelaide,Cattle,Breeder,China," 2,890 ",2016
Air,Apr,NSW,Sydney,Cattle,Breeder,Malaysia, 116 ,2016
Sea,Apr,WA,Broome,Cattle,Feeder,Indonesia," 1,901 ",2016
Air,Apr,NSW,Sydney,Cattle,Breeder,Malaysia, 12 ,2016
Air,Apr,NSW,Sydney,Goats,Breeder,Philippines, 89 ,2016
Air,Apr,VIC,Melbourne,Sheep,Breeder,Fiji, 35 ,2016
Air,Apr,SA,Adelaide,Alpacas,Breeder,Malaysia, 13 ,2016
Air,Apr,SA,Adelaide,Sheep,Slaughter,Malaysia, 622 ,2016
Air,Apr,SA,Adelaide,Cattle,Slaughter,Malaysia, 49 ,2016
Air,Apr,SA,Adelaide,Camels,Breeder,Malaysia, 22 ,2016
Air,Apr,SA,Adelaide,Goats,Slaughter,Malaysia," 1,169 ",2016
Sea,Apr,VIC,Portland,Cattle,Breeder,China," 3,119 ",2016
Sea,Apr,QLD,Townsville,Cattle,Slaughter,Vietnam," 3,197 ",2016
Sea,Apr,WA,Fremantle,Sheep,Slaughter,Oman," 5,000 ",2016
Sea,Apr,WA,Fremantle,Sheep,Slaughter,Kuwait," 29,865 ",2016
Sea,Apr,WA,Fremantle,Sheep,Slaughter,Qatar," 28,000 ",2016
Sea,Apr,WA,Fremantle,Cattle,Slaughter,Qatar, 150 ,2016
Air,Apr,VIC,Melbourne,Sheep,Breeder,Fiji, 28 ,2016
Sea,Apr,WA,Fremantle,Cattle,Breeder,China," 1,024 ",2016
Sea,Apr,WA,Broome,Cattle,Feeder,Indonesia," 2,838 ",2016
Air,Apr,WA,Perth,Sheep,Slaughter,Malaysia, 150 ,2016
Air,Apr,VIC,Melbourne,Cattle,Breeder,United Arab Emirates, 24 ,2016
Sea,Apr,NT,Darwin,Cattle,Feeder,Indonesia," 3,875 ",2016
Air,Apr,WA,Perth,Goats,Slaughter,Malaysia, 210 ,2016
Sea,Apr,SA,Port Adelaide,Cattle,Feeder,Israel," 2,711 ",2016
Sea,Apr,SA,Port Adelaide,Sheep,Slaughter,Jordan," 39,320 ",2016
Air,Apr,NSW,Sydney,Goats,Slaughter,Malaysia, 552 ,2016
Air,Apr,VIC,Melbourne,Goats,Breeder,Fiji, 22 ,2016
Air,Apr,VIC,Melbourne,Sheep,Breeder,Fiji, 14 ,2016
Air,Apr,SA,Adelaide,Goats,Slaughter,Malaysia," 1,324 ",2016
Air,Apr,SA,Adelaide,Sheep,Slaughter,Malaysia, 960 ,2016
Air,Apr,VIC,Melbourne,Cattle,Breeder,Malaysia, 159 ,2016
Air,Apr,VIC,Melbourne,Goats,Slaughter,Malaysia, 580 ,2016
Air,Apr,VIC,Melbourne,Sheep,Slaughter,Malaysia, 580 ,2016
Air,Apr,WA,Perth,Goats,Slaughter,Malaysia, 210 ,2016
Air,Apr,VIC,Melbourne,Goats,Breeder,Fiji, 53 ,2016
Sea,Apr,QLD,Townsville,Cattle,Slaughter,Vietnam," 2,064 ",2016
Air,Apr,WA,Perth,Sheep,Slaughter,Malaysia, 149 ,2016
Sea,Apr,NT,Darwin,Buffalo,Slaughter,Vietnam, 77 ,2016
Sea,Apr,NT,Darwin,Cattle,Slaughter,Vietnam," 1,165 ",2016
Sea,Apr,WA,Broome,Cattle,Productive,Indonesia," 1,000 ",2016
Sea,Apr,WA,Broome,Cattle,Feeder,Indonesia," 2,135 ",2016
Sea,Apr,WA,Fremantle,Cattle,Feeder,Israel," 7,504 ",2016
Sea,Apr,WA,Fremantle,Sheep,Feeder,Israel," 17,600 ",2016
Sea,Apr,WA,Fremantle,Sheep,Slaughter,Jordan," 4,053 ",2016
Sea,Apr,QLD,Townsville,Cattle,Feeder,Indonesia," 1,869 ",2016
Sea,Apr,WA,Broome,Cattle,Slaughter,Malaysia," 1,637 ",2016
Sea,Apr,QLD,Townsville,Cattle,Feeder,Indonesia," 6,945 ",2016
Sea,Apr,QLD,Townsville,Cattle,Productive,Indonesia," 1,912 ",2016
Sea,Apr,QLD,Townsville,Cattle,Slaughter,Vietnam," 6,509 ",2016
Sea,Apr,WA,Fremantle,Cattle,Slaughter,Vietnam, 221 ,2016
Air,Apr,WA,Perth,Sheep,Slaughter,Malaysia, 168 ,2016
Sea,Apr,NT,Darwin,Cattle,Feeder,Indonesia," 2,839 ",2016
Air,Apr,WA,Perth,Sheep,Slaughter,Malaysia, 162 ,2016
Sea,Apr,WA,Wyndham,Cattle,Feeder,Indonesia," 3,741 ",2016
Air,Apr,VIC,Melbourne,Goats,Breeder,Vietnam, 679 ,2016
Air,Apr,VIC,Melbourne,Cattle,Slaughter,China, 184 ,2016
Sea,Apr,WA,Broome,Cattle,Feeder,Philippines," 2,837 ",2016
Sea,Apr,WA,Broome,Cattle,Slaughter,Vietnam," 2,370 ",2016
Sea,Apr,QLD,Townsville,Cattle,Slaughter,Vietnam," 2,486 ",2016
Air,Apr,WA,Perth,Sheep,Slaughter,Malaysia, 150 ,2016
Sea,Apr,VIC,Portland,Cattle,Breeder,Mexico," 6,677 ",2016
Air,Apr,VIC,Melbourne,Goats,Breeder,United Arab Emirates, 85 ,2016
Sea,Apr,NT,Darwin,Cattle,Feeder,Philippines," 2,901 ",2016
Sea,Apr,QLD,Townsville,Cattle,Feeder,Philippines," 2,625 ",2016
Air,Apr,WA,Perth,Sheep,Slaughter,Malaysia, 165 ,2016
Air,Apr,SA,Adelaide,Goats,Slaughter,Malaysia, 120 ,2016
Air,Apr,SA,Adelaide,Sheep,Slaughter,Malaysia, 90 ,2016
Air,Apr,NSW,Sydney,Cattle,Breeder,Malaysia, 132 ,2016
